date,power_price_gbp_mwh
2018-01-01,24.449784221173296
2018-02-01,26.11949338374291
2018-03-01,30.574052398775095
2018-04-01,25.191667829727844
2018-05-01,26.269286435543588
2018-06-01,26.490411723656667
2018-07-01,28.2461600810537
2018-08-01,29.79008083529808
2018-09-01,31.739821989528796
2018-10-01,30.940597119775205
2018-11-01,30.944116989567807
2018-12-01,30.68323092505064
2019-01-01,30.07315036722072
2019-02-01,24.533755117231113
2019-03-01,21.168619063657797
2019-04-01,21.614812239221138
2019-05-01,19.958670303443572
2019-06-01,19.597960181627663
2019-07-01,20.351637466307277
2019-08-01,18.61644910382144
2019-09-01,17.115431154381085
2019-10-01,18.07485145172181
2019-11-01,21.90295997191011
2019-12-01,18.520158142664872
2020-01-01,17.282544704264097
2020-02-01,14.888813376483279
2020-03-01,14.295958950201882
2020-04-01,11.537584289190129
2020-05-01,10.894014227642277
2020-06-01,12.814155346569141
2020-07-01,13.833464595375721
2020-08-01,17.780561533288502
2020-09-01,21.548938761308282
2020-10-01,20.8460955907102
2020-11-01,20.643395061728395
2020-12-01,27.299942722371966
2021-01-01,35.66432432432432
2021-02-01,28.446
2021-03-01,27.57497084548105
2021-04-01,32.23413012221424
2021-05-01,35.56964998249913
2021-06-01,39.53568
2021-07-01,47.02043682795699
2021-08-01,53.14787491593813
2021-09-01,88.91715526224384
2021-10-01,82.48668796234028
2021-11-01,91.97733055265903
2021-12-01,113.61440107671602
2022-01-01,93.00229061553986
2022-02-01,78.62478600669891
2022-03-01,118.72111185983827
2022-04-01,86.79079652173914
2022-05-01,60.386507402422616
2022-06-01,78.65960654596101
2022-07-01,116.7932560483871
2022-08-01,176.66402553763442
2022-09-01,130.03633950401675
2022-10-01,59.36809764309764
2022-11-01,67.81325460229246
2022-12-01,121.70146702557201
2023-01-01,65.67915122937016
2023-02-01,67.97368577810872
2023-03-01,59.440904505716205
2023-04-01,49.85648489058701
2023-05-01,39.52719268540467
2023-06-01,43.18363446838082
2023-07-01,34.17635016835017
2023-08-01,40.6085248655914
2023-09-01,41.51816255644321
2023-10-01,43.175743106926696
2023-11-01,45.5926668984701
2023-12-01,33.370928043039676
2024-01-01,35.93129455279085
2024-02-01,29.342624955052138
2024-03-01,31.551181818181817
2024-04-01,25.440073018080664
2024-05-01,36.61813216453136
2024-06-01,34.86178596247394
2024-07-01,35.24557873485868
2024-08-01,28.82577867473932
2024-09-01,38.61340048627996
2024-10-01,41.314804976462675
2024-11-01,47.78319652173913
2024-12-01,43.90006390850992
